AccountNo;BetDate;ClassId;CategoryId;Source;BetCount;Bet_Amt;Win_Amt;Product;;;;;;;;;;;;;;;;
01196ZZ   ;29/09/2012;2;9;I;20;4290;1825;Sportsbook;;;;;;;;;;;;;;;;
01196ZZ   ;13/12/2012;22512_XFER;22512;I;39;4265;5940;Vegas;;;;;;;;;;;;;;;;
01148BP   ;11/12/2012;2;9;I;11;4240;1840;Sportsbook;;;;;;;;;;;;;;;;
01148BP   ;02/11/2012;2;9;I;8;4237,5;5387,5;Sportsbook;;;;;;;;;;;;;;;;
01152SJ   ;17/10/2012;22527_PRCH;22527;I;6;4234,6494;0;Poker;;;;;;;;;;;;;;;;
00357DG   ;06/11/2012;22512_XFER;22512;I;1056;4113;3992,2;Vegas;;;;;;;;;;;;;;;;
01148BP   ;16/11/2012;2;9;I;11;4106,25;6156,25;Sportsbook;;;;;;;;;;;;;;;;
01148BP   ;26/10/2012;2;9;I;12;4062,5;3187,5;Sportsbook;;;;;;;;;;;;;;;;
00497XG   ;24/12/2012;638;0;I;1797;4031,29;3325,75;Games;;;;;;;;;;;;;;;;
01148BP   ;08/11/2012;2;9;I;14;4020,31;4564,06;Sportsbook;;;;;;;;;;;;;;;;
00497XG   ;25/12/2012;638;0;I;1198;3938,31;2457,3;Games;;;;;;;;;;;;;;;;
01148BP   ;11/09/2012;2;9;I;15;3825;4625;Sportsbook;;;;;;;;;;;;;;;;
01148BP   ;27/10/2012;2;9;I;14;3802,5;3302,5;Sportsbook;;;;;;;;;;;;;;;;
01148BP   ;19/10/2012;2;9;I;9;3800;7237,5;Sportsbook;;;;;;;;;;;;;;;;
01284UW   ;20/10/2012;1;5;I;7;3780;0;Sportsbook;;;;;;;;;;;;;;;;
01148BP   ;23/11/2012;2;9;I;10;3681,25;5431,25;Sportsbook;;;;;;;;;;;;;;;;
01196ZZ   ;23/12/2012;22512_XFER;22512;I;38;3660;3510;Vegas;;;;;;;;;;;;;;;;
01148BP   ;09/11/2012;2;9;I;10;3643,75;2800;Sportsbook;;;;;;;;;;;;;;;;
01148BP   ;27/09/2012;2;9;I;12;3638;6000;Sportsbook;;;;;;;;;;;;;;;;
01148BP   ;10/10/2012;2;9;I;10;3595,45;1495,45;Sportsbook;;;;;;;;;;;;;;;;
01284UW   ;10/10/2012;36;5;I;9;3550;0;Sportsbook;;;;;;;;;;;;;;;;
01152SJ   ;03/12/2012;22528_PRCH;22528;I;2;3497,377;0;Casino;;;;;;;;;;;;;;;;
01148BP   ;01/09/2012;2;9;N;6;3470;1320;Sportsbook;;;;;;;;;;;;;;;;
01152SJ   ;01/12/2012;22527_PRCH;22527;I;2;3370,3864;0;Poker;;;;;;;;;;;;;;;;
01284UW   ;31/10/2012;46;5;I;36;3315;960;Sportsbook;;;;;;;;;;;;;;;;
00357DG   ;22/11/2012;22512_XFER;22512;I;340;3310;2005;Vegas;;;;;;;;;;;;;;;;
00497XG   ;27/12/2012;638;0;I;1230;3295,93;2748,83;Games;;;;;;;;;;;;;;;;
01148BP   ;12/12/2012;2;9;I;11;3275;2275;Sportsbook;;;;;;;;;;;;;;;;
00357DG   ;10/11/2012;22512_XFER;22512;I;826;3192;2335;Vegas;;;;;;;;;;;;;;;;
01284UW   ;12/10/2012;36;5;I;12;3180;25348,33;Sportsbook;;;;;;;;;;;;;;;;
00357DG   ;05/11/2012;22512_XFER;22512;I;709;3158;3208,1;Vegas;;;;;;;;;;;;;;;;
