AccountNo;BetDate;ClassId;CategoryId;Source;BetCount;Bet_Amt;Win_Amt;Product;;;;AccountNo;Bet_Amt;Product;;AccountNo;Vegas;Sportsbook;Games;Casino;Poker;Bingo;#NV;Adjustments
00357DG   ;08/11/2012;22512_XFER;22512;I;1482;5652,4;3412,6;Vegas;;;;00357DG   ;5652,4;Vegas;;;;;;;;;;
01148BP   ;05/12/2012;2;9;I;17;5600;4200;Sportsbook;;;;01148BP   ;5600;Sportsbook;;;;;;;;;;
01148BP   ;16/09/2012;2;9;I;21;5560,18;5726,25;Sportsbook;;;;01148BP   ;5560,18;Sportsbook;;;;;;;;;;
01152SJ   ;01/12/2012;22528_PRCH;22528;I;3;5451,3013;0;Casino;;;;01152SJ   ;5451,3013;Casino;;;;;;;;;;
01148BP   ;01/12/2012;2;9;I;15;5350;7350;Sportsbook;;;;01148BP   ;5350;Sportsbook;;;;;;;;;;
01148BP   ;09/12/2012;2;9;I;14;5293,75;5393,75;Sportsbook;;;;01148BP   ;5293,75;Sportsbook;;;;;;;;;;
01284UW   ;31/10/2012;1;5;I;35;5290;5720;Sportsbook;;;;01284UW   ;5290;Sportsbook;;;;;;;;;;
01148BP   ;20/09/2012;2;9;I;17;5250;5550;Sportsbook;;;;01148BP   ;5250;Sportsbook;;;;;;;;;;
01148BP   ;25/10/2012;2;9;I;16;5219,59;6857,42;Sportsbook;;;;01148BP   ;5219,59;Sportsbook;;;;;;;;;;
00357DG   ;29/11/2012;22512_XFER;22512;I;323;5018;2367,3;Vegas;;;;00357DG   ;5018;Vegas;;;;;;;;;;
01148BP   ;03/10/2012;2;9;I;21;4987,5;1975;Sportsbook;;;;01148BP   ;4987,5;Sportsbook;;;;;;;;;;
01196ZZ   ;20/10/2012;3;8;I;25;4585;3448,75;Sportsbook;;;;01196ZZ   ;4585;Sportsbook;;;;;;;;;;
01148BP   ;19/11/2012;2;9;I;15;4491,15;4925;Sportsbook;;;;01148BP   ;4491,15;Sportsbook;;;;;;;;;;
01148BP   ;06/11/2012;2;9;I;11;4462,5;6487,5;Sportsbook;;;;01148BP   ;4462,5;Sportsbook;;;;;;;;;;
01148BP   ;14/09/2012;2;9;I;17;4460;9228,13;Sportsbook;;;;01148BP   ;4460;Sportsbook;;;;;;;;;;
01148BP   ;01/11/2012;2;9;I;10;4390;840;Sportsbook;;;;01148BP   ;4390;Sportsbook;;;;;;;;;;
01148BP   ;20/11/2012;2;9;I;11;4300;1550;Sportsbook;;;;01148BP   ;4300;Sportsbook;;;;;;;;;;
01196ZZ   ;29/09/2012;2;9;I;20;4290;1825;Sportsbook;;;;01196ZZ   ;4290;Sportsbook;;;;;;;;;;
01196ZZ   ;13/12/2012;22512_XFER;22512;I;39;4265;5940;Vegas;;;;01196ZZ   ;4265;Vegas;;;;;;;;;;
01148BP   ;11/12/2012;2;9;I;11;4240;1840;Sportsbook;;;;01148BP   ;4240;Sportsbook;;;;;;;;;;
01148BP   ;02/11/2012;2;9;I;8;4237,5;5387,5;Sportsbook;;;;01148BP   ;4237,5;Sportsbook;;;;;;;;;;
01152SJ   ;17/10/2012;22527_PRCH;22527;I;6;4234,6494;0;Poker;;;;01152SJ   ;4234,6494;Poker;;;;;;;;;;
00357DG   ;06/11/2012;22512_XFER;22512;I;1056;4113;3992,2;Vegas;;;;00357DG   ;4113;Vegas;;;;;;;;;;
01148BP   ;16/11/2012;2;9;I;11;4106,25;6156,25;Sportsbook;;;;01148BP   ;4106,25;Sportsbook;;;;;;;;;;
01148BP   ;26/10/2012;2;9;I;12;4062,5;3187,5;Sportsbook;;;;01148BP   ;4062,5;Sportsbook;;;;;;;;;;
00497XG   ;24/12/2012;638;0;I;1797;4031,29;3325,75;Games;;;;00497XG   ;4031,29;Games;;;;;;;;;;
01148BP   ;08/11/2012;2;9;I;14;4020,31;4564,06;Sportsbook;;;;01148BP   ;4020,31;Sportsbook;;;;;;;;;;
00497XG   ;25/12/2012;638;0;I;1198;3938,31;2457,3;Games;;;;00497XG   ;3938,31;Games;;;;;;;;;;
01148BP   ;11/09/2012;2;9;I;15;3825;4625;Sportsbook;;;;01148BP   ;3825;Sportsbook;;;;;;;;;;
01148BP   ;27/10/2012;2;9;I;14;3802,5;3302,5;Sportsbook;;;;01148BP   ;3802,5;Sportsbook;;;;;;;;;;
01148BP   ;19/10/2012;2;9;I;9;3800;7237,5;Sportsbook;;;;01148BP   ;3800;Sportsbook;;;;;;;;;;
01284UW   ;20/10/2012;1;5;I;7;3780;0;Sportsbook;;;;01284UW   ;3780;Sportsbook;;;;;;;;;;
01148BP   ;23/11/2012;2;9;I;10;3681,25;5431,25;Sportsbook;;;;01148BP   ;3681,25;Sportsbook;;;;;;;;;;
01196ZZ   ;23/12/2012;22512_XFER;22512;I;38;3660;3510;Vegas;;;;01196ZZ   ;3660;Vegas;;;;;;;;;;
01148BP   ;09/11/2012;2;9;I;10;3643,75;2800;Sportsbook;;;;01148BP   ;3643,75;Sportsbook;;;;;;;;;;
01148BP   ;27/09/2012;2;9;I;12;3638;6000;Sportsbook;;;;01148BP   ;3638;Sportsbook;;;;;;;;;;
01148BP   ;10/10/2012;2;9;I;10;3595,45;1495,45;Sportsbook;;;;01148BP   ;3595,45;Sportsbook;;;;;;;;;;
01284UW   ;10/10/2012;36;5;I;9;3550;0;Sportsbook;;;;01284UW   ;3550;Sportsbook;;;;;;;;;;
01152SJ   ;03/12/2012;22528_PRCH;22528;I;2;3497,377;0;Casino;;;;01152SJ   ;3497,377;Casino;;;;;;;;;;
01148BP   ;01/09/2012;2;9;N;6;3470;1320;Sportsbook;;;;01148BP   ;3470;Sportsbook;;;;;;;;;;
01152SJ   ;01/12/2012;22527_PRCH;22527;I;2;3370,3864;0;Poker;;;;01152SJ   ;3370,3864;Poker;;;;;;;;;;
01284UW   ;31/10/2012;46;5;I;36;3315;960;Sportsbook;;;;01284UW   ;3315;Sportsbook;;;;;;;;;;
00357DG   ;22/11/2012;22512_XFER;22512;I;340;3310;2005;Vegas;;;;00357DG   ;3310;Vegas;;;;;;;;;;
00497XG   ;27/12/2012;638;0;I;1230;3295,93;2748,83;Games;;;;00497XG   ;3295,93;Games;;;;;;;;;;
01148BP   ;12/12/2012;2;9;I;11;3275;2275;Sportsbook;;;;01148BP   ;3275;Sportsbook;;;;;;;;;;
00357DG   ;10/11/2012;22512_XFER;22512;I;826;3192;2335;Vegas;;;;00357DG   ;3192;Vegas;;;;;;;;;;
01284UW   ;12/10/2012;36;5;I;12;3180;25348,33;Sportsbook;;;;01284UW   ;3180;Sportsbook;;;;;;;;;;
00357DG   ;05/11/2012;22512_XFER;22512;I;709;3158;3208,1;Vegas;;;;00357DG   ;3158;Vegas;;;;;;;;;;
01148BP   ;08/12/2012;2;9;M;11;3150;5100;Sportsbook;;;;01148BP   ;3150;Sportsbook;;;;;;;;;;
01284UW   ;30/10/2012;46;5;I;25;3145;2380;Sportsbook;;;;01284UW   ;3145;Sportsbook;;;;;;;;;;
01148BP   ;20/11/2012;3;8;I;8;3137,5;1687,5;Sportsbook;;;;01148BP   ;3137,5;Sportsbook;;;;;;;;;;
01148BP   ;03/12/2012;2;9;I;7;2860;3293,75;Sportsbook;;;;01148BP   ;2860;Sportsbook;;;;;;;;;;
01148BP   ;31/10/2012;2;9;I;7;2800;3000;Sportsbook;;;;01148BP   ;2800;Sportsbook;;;;;;;;;;
01196ZZ   ;23/10/2012;2;9;I;11;2760;2000;Sportsbook;;;;01196ZZ   ;2760;Sportsbook;;;;;;;;;;
00497XG   ;26/12/2012;638;0;I;986;2742,5;1674,6;Games;;;;00497XG   ;2742,5;Games;;;;;;;;;;
01148BP   ;07/12/2012;2;9;M;7;2700;4950;Sportsbook;;;;01148BP   ;2700;Sportsbook;;;;;;;;;;
01284UW   ;14/10/2012;36;5;I;7;2700;0;Sportsbook;;;;01284UW   ;2700;Sportsbook;;;;;;;;;;
01196ZZ   ;23/09/2012;2;9;I;14;2650;1800;Sportsbook;;;;01196ZZ   ;2650;Sportsbook;;;;;;;;;;
01284UW   ;15/10/2012;36;5;I;6;2600;0;Sportsbook;;;;01284UW   ;2600;Sportsbook;;;;;;;;;;
01148BP   ;21/09/2012;2;9;I;8;2550;1550;Sportsbook;;;;01148BP   ;2550;Sportsbook;;;;;;;;;;
01148BP   ;15/10/2012;2;9;I;8;2540;1877,5;Sportsbook;;;;01148BP   ;2540;Sportsbook;;;;;;;;;;
01148BP   ;20/10/2012;2;9;N;7;2536,72;4839,22;Sportsbook;;;;01148BP   ;2536,72;Sportsbook;;;;;;;;;;
01148BP   ;05/09/2012;2;9;I;13;2525;3065,63;Sportsbook;;;;01148BP   ;2525;Sportsbook;;;;;;;;;;
01148BP   ;19/11/2012;3;8;I;7;2500;3200;Sportsbook;;;;01148BP   ;2500;Sportsbook;;;;;;;;;;
01284UW   ;21/10/2012;274;5;I;2;2500;0;Sportsbook;;;;01284UW   ;2500;Sportsbook;;;;;;;;;;
00357DG   ;09/11/2012;22512_XFER;22512;I;619;2428;2557,6;Vegas;;;;00357DG   ;2428;Vegas;;;;;;;;;;
01148BP   ;16/10/2012;2;9;I;7;2393,75;7331,25;Sportsbook;;;;01148BP   ;2393,75;Sportsbook;;;;;;;;;;
01152SJ   ;25/10/2012;22528_PRCH;22528;I;2;2377,08;0;Casino;;;;01152SJ   ;2377,08;Casino;;;;;;;;;;
01152SJ   ;14/10/2012;22528_PRCH;22528;I;2;2365,0121;0;Casino;;;;01152SJ   ;2365,0121;Casino;;;;;;;;;;
01152SJ   ;25/10/2012;22527_PRCH;22527;I;2;2313,7433;0;Poker;;;;01152SJ   ;2313,7433;Poker;;;;;;;;;;
01148BP   ;19/12/2012;2;9;I;8;2275;1525;Sportsbook;;;;01148BP   ;2275;Sportsbook;;;;;;;;;;
01196ZZ   ;19/11/2012;2;9;I;13;2223;1848,73;Sportsbook;;;;01196ZZ   ;2223;Sportsbook;;;;;;;;;;
01148BP   ;29/09/2012;2;9;M;5;2200;900;Sportsbook;;;;01148BP   ;2200;Sportsbook;;;;;;;;;;
01152SJ   ;16/10/2012;22527_PRCH;22527;I;5;2177,5649;0;Poker;;;;01152SJ   ;2177,5649;Poker;;;;;;;;;;
01148BP   ;30/11/2012;2;9;I;7;2162,5;3912,5;Sportsbook;;;;01148BP   ;2162,5;Sportsbook;;;;;;;;;;
01152SJ   ;16/10/2012;22528_PRCH;22528;I;1;2115,3487;0;Casino;;;;01152SJ   ;2115,3487;Casino;;;;;;;;;;
01196ZZ   ;17/10/2012;2;9;I;14;2112;557,05;Sportsbook;;;;01196ZZ   ;2112;Sportsbook;;;;;;;;;;
01196ZZ   ;08/12/2012;2;9;I;16;2030;3475,5;Sportsbook;;;;01196ZZ   ;2030;Sportsbook;;;;;;;;;;
01148BP   ;26/11/2012;2;9;I;7;2020;3820;Sportsbook;;;;01148BP   ;2020;Sportsbook;;;;;;;;;;
01148BP   ;18/09/2012;2;9;I;6;2008;0;Sportsbook;;;;01148BP   ;2008;Sportsbook;;;;;;;;;;
01148BP   ;23/10/2012;2;9;I;5;2000;0;Sportsbook;;;;01148BP   ;2000;Sportsbook;;;;;;;;;;
01148BP   ;13/11/2012;2;9;I;7;2000;1837,5;Sportsbook;;;;01284UW   ;1985;Sportsbook;;;;;;;;;;
01284UW   ;02/11/2012;46;5;I;11;1985;2325,56;Sportsbook;;;;01284UW   ;1980;Sportsbook;;;;;;;;;;
01284UW   ;30/10/2012;1;5;I;14;1980;2800;Sportsbook;;;;01152SJ   ;1948,2058;Poker;;;;;;;;;;
01152SJ   ;08/09/2012;22527_PRCH;22527;I;2;1948,2058;0;Poker;;;;01148BP   ;1900;Sportsbook;;;;;;;;;;
01148BP   ;12/09/2012;2;9;I;9;1900;3300;Sportsbook;;;;01152SJ   ;1873,5948;Poker;;;;;;;;;;
01152SJ   ;03/12/2012;22527_PRCH;22527;I;1;1873,5948;0;Poker;;;;01152SJ   ;1870,4408;Casino;;;;;;;;;;
01152SJ   ;09/12/2012;22528_PRCH;22528;I;2;1870,4408;0;Casino;;;;01152SJ   ;1859,6764;Poker;;;;;;;;;;
01152SJ   ;28/12/2012;22527_PRCH;22527;I;1;1859,6764;0;Poker;;;;01148BP   ;1850;Sportsbook;;;;;;;;;;
01148BP   ;10/11/2012;2;9;I;7;1850;2400;Sportsbook;;;;00357DG   ;1835;Vegas;;;;;;;;;;
